Expr1000,ITEMDESCRIPTION,ITEMUNITE,ITEMSPECIFICATIONNO,ITEMBASICRATE,LABOURRATE
I No:45-30 / Pg No:295,"This Item is DELETED -- Providing 4 kg Fire Extinguisher Clean Agent HFC 236, Zero ODP, Stored Pressure Type, Pressure Gauge Gross Weight :6.9 kg, Empty Weight : 2.9 kg, Can Height :435 MM, Diameter : 140 MM, Discharge Time less than 9 Secs, Controllable discharge mechanism, Range Minimum 4 meters, applicable on Class ABC and electrically started Fire A Rating 5A, B Rating 34B, Can construction: Deep drawn & Co. Mig welded, Valve construction : Forging and Machining, Internal Coating of Can : Epoxy powder coating, External Coating of Can: Epoxy Polyster powder Coating, Sheet metal Thickness: 1.60 MM,  EN Approved with 5 Years Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-31 / Pg No:295,"This Item is DELETED -- Providing 6 kg Fire Extinguisher Clean Agent HFC 236, Zero ODP, Stored Pressure Type, Pressure Gauge Gross Weight : 9.5 kg, Empty Weight : 3.5 kg, Can Height :486 MM, Diameter : 160 MM, Discharge Time less than 9 Secs, Controllable discharge mechanism, Range Minimum 4 meters, applicable on Class ABC and electrically started Fire A Rating 5A, B Rating 34B, Can construction: Deep drawn & Co. Mig welded, Valve construction : Forging and Machining, Internal Coating of Can : Epoxy powder coating, External Coating of Can: Epoxy Polyster powder Coating, Sheet metal Thickness: 1.60 MM,  EN Approved with 5 Years Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-32 / Pg No:295,"This Item is DELETED -- Providing 9 kg Fire Extinguisher Clean Agent HFC 236, Zero ODP, Stored Pressure Type, Pressure Gauge Gross Weight : 13.8 kg, Empty Weight : 4.8 kg, Can Height : 611 MM, Diameter : 175 MM, Discharge Time Minimum 12 Secs, Controllable discharge mechanism, Range Minimum 4 meters, applicable on Class ABC and electrically started Fire, Can construction: Deep drawn & Co. Mig welded, Valve construction : Forging and Machining, Internal Coating of Can : Epoxy powder coating, External Coating of Can: Epoxy Polyster powder Coating, Sheet metal Thickness: 1.60 MM,  EN Approved with 5 Years Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-33 / Pg No:295,"This Item is DELETED -- Providing 5 kg Ceiling Mounted Fire Extinguisher Clean Agent HFC 236, Zero ODP, Stored Pressure Type, Pressure Gauge Gross Weight : 7.7 kg, Empty Weight : 2.7 kg, Can Height : 267 MM, Diameter : 230 MM, Discharge Time Minimum 8 Secs, Auto discharge mechanism, On temperature rise, applicable on Class ABC and electrically started Fire, Can construction: Deep drawn & Co. Mig welded, Valve construction : Forging and Machining, Internal Coating of Can : Epoxy powder coating, External Coating of Can: Epoxy Polyster powder Coating, Sheet metal Thickness: 1.60 MM,  EN Approved with 5 Years Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-34 / Pg No:295,"This Item is DELETED -- Providing 10 kg Ceiling Mounted Fire Extinguisher Clean Agent HFC 236, Zero ODP, Stored Pressure Type, Pressure Gauge Gross Weight : 14.8 kg, Empty Weight : 4.8 kg, Can Height : 316 MM, Diameter : 300 MM, Discharge Time Minimum 8 Secs, Auto discharge mechanism, On temperature rise, applicable on Class ABC and electrically started Fire, Can construction: Deep drawn & Co. Mig welded, Valve construction : Forging and Machining, Internal Coating of Can : Epoxy powder coating, External Coating of Can: Epoxy Polyster powder Coating, Sheet metal Thickness: 1.60 MM, EN Approved with 5 Years Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-35 / Pg No:295,"This Item is DELETED -- Providing 2 kg CO2 Gas Type Fire Extinguisher, Use Unused Mechanism Squeeze Grip, Gross Weight : 9.1 kg, Empty Weight : 7.1 kg, Can Height : 600 MM, Diameter 108 MM, Discharge Time : less than 8 Secs, Controllable discharge mechanism, , applicable on Class B&C fire , B Rating 13B Can construction: Hot Spinning, Valve construction : Forging and Machining, Internal Coating of Can : Not Applicable, External Coating of Can: Spray Painting,, Sheet metal Thickness: 4.0 MM, ISI Approved with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-36 / Pg No:295,"This Item is DELETED -- Providing 4.5 kg CO2 Gas Type Fire Extinguisher, Trolley Mounted, Easy Weight Management Use Unused Mechanism Squeeze Grip, Gross Weight : 19.1 kg, Empty Weight : 14.6 kg, Can Height : 857 MM, Diameter 140 MM, Discharge Time : less than 10 Secs, Controllable discharge mechanism, , applicable on Class B&C fire , B Rating 21B Can construction: Hot Spinning, Valve construction : Forging and Machining, Internal Coating of Can : Not Applicable, External Coating of Can: Spray Painting,, Sheet metal Thickness: 4.5 MM, ISI Approved with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-37 / Pg No:295,"This Item is DELETED -- Providing 4.5 kg CO2 Gas Type Fire Extinguisher, Trolley Mounted, Easy Weight Management Use Unused Mechanism Squeeze Grip, Gross Weight : 19.1 kg, Empty Weight : 14.6 kg, Can Height : 857 MM, Diameter 140 MM, Discharge Time : less than 10 Secs, Controllable discharge mechanism, , applicable on Class B&C fire , B Rating 21B Can construction: Hot Spinning, Valve construction : Forging and Machining, Internal Coating of Can : Not Applicable, External Coating of Can: Spray Painting,, Sheet metal Thickness: 4.5 MM, ISI Approved with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-38 / Pg No:295,"This Item is DELETED -- Providing 6.5 kg CO2 Gas Type Fire Extinguisher, Trolley Mounted, Easy Weight Management Use Unused Mechanism Squeeze Grip, Gross Weight : 30.5 kg, Empty Weight : 24 kg, Can Height : 1000 MM, Diameter 140 MM, Discharge Time : less than 10 Secs, Controllable discharge mechanism, , applicable on Class B&C fire , B Rating 34 B Can construction: Hot Spinning, Valve construction : Forging and Machining, Internal Coating of Can : Not Applicable, External Coating of Can: Spray Painting,, Sheet metal Thickness: 4.5 MM, ISI Approved with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-39 / Pg No:295,"This Item is DELETED -- Providing 22.5 kg CO2 Gas Type Fire Extinguisher, Trolley Mounted, Squeeze Grip, Gross Weight : 93.5 kg, Empty Weight : 71 kg, Can Height : 1333 MM, Diameter 232 MM, Discharge Time : less than 20 Secs, Controllable discharge mechanism, ,applicable on Class B&C fire , Can construction: Hot Spinning, Valve construction : Forging and Machining, Internal Coating of Can : Not Applicable, External Coating of Can: Spray Painting,, Sheet metal Thickness: 4.5 MM, ISI Approved with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-40 / Pg No:295,"This Item is DELETED -- Providing 2 kg CO2 Gas Type Fire Extinguisher, Use Unused Mechanism Squeeze Grip, Gross Weight : 5.16 kg, Empty Weight : 3.16 kg, Can Height : 372 MM, Diameter 232 MM, Discharge Time : less than 8 Secs, Controllable discharge mechanism, , applicable on Class B&C fire, B Rating 13B, Can construction: Cold Impact Extrusion, Valve construction : Forging and Machining, Internal Coating of Can : Not Applicable, External Coating of Can: Spray Painting, Aluminium metal ISO & PESO Approved with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-41 / Pg No:295,"This Item is DELETED -- Providing 4.5 kg CO2 Gas Type Fire Extinguisher, Trolley Mounted Easy Weight Management, Use Unused Mechanism Squeeze Grip, Gross Weight : 11.6 kg, Empty Weight : 6.66 kg, Can Height : 651 MM, Diameter 140 MM, Discharge Time : less than 10 Secs, Controllable discharge mechanism,  applicable on Class B&C fire, B Rating 21B, Can construction: Cold Impact Extrusion,Valve construction : Forging and Machining, Internal Coating of Can : Not Applicable, External Coating of Can: Spray Painting,, Aluminium metal ISO & PESO Approved with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-42 / Pg No:295,"This Item is DELETED -- Providing 9 Liters Fire Extinguisher,AFFF Foam Type, Stroed Pressure Type Pressure Gauge,Gross Weight : 14.6 kg, Empty Weight : 5.6 kg, Can Height : 611 MM, Diameter 175 MM, Discharge Time : less than 60 Secs, Controllable discharge mechanism, , Range minimum 6 meters, Applicable on Class A & B fire, A Rating 13A, B Rating 55B, Can construction: Deep drawn & co.,Mig Welded, Valve construction : Forging and Machining, Internal Coating of Can : Epoxy Powder Coating, External Coating of Can: Epoxy Polyster Powder coating Sheet Metal Thickness: 2.0 MM ISI and EN Approved, with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-43 / Pg No:295,"This Item is DELETED -- Providing 50 Liters Fire Extinguisher,AFFF Foam Type,External Cartridge Type Pressure Gauge Gross Weight : 102 kg, Empty Weight : 52 kg, Can Height : 1192 MM, Diameter 300 MM, Discharge Time : less than 180 Secs, Controllable discharge mechanism, , Range minimum 10 meters, Applicable on Class A & B fire, Can construction: Deep drawn & Co2.,Mig Welded, Valve construction : Forging and Machining, Internal Coating of Can : Epoxy Powder Coating, External Coating of Can: Epoxy Polyster Powder coating Sheet Metal Thickness: 4.0 MM with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-44 / Pg No:295,"This Item is DELETED -- Providing 9 Liters Fire Extinguisher,Water Type, Stroed Pressure Type Pressure Gauge Gross Weight : 14.6 kg, Empty Weight : 5.6 kg, Can Height : 611 MM, Diameter 175 MM, Discharge Time : less than 120 Secs, Controllable discharge mechanism, , Range minimum 6 meters, Applicable on Class A fire, A Rating 13A, Can construction: Deep drawn & co.,Mig Welded, Valve construction : Forging and Machining, Internal Coating of Can : Epoxy Powder Coating, External Coating of Can: Epoxy Polyster Powder coating Sheet Metal Thickness: 2.0 MM ISI and EN Approved, with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-45 / Pg No:295,"This Item is DELETED -- Providing 50 Liters Fire Extinguisher,Water Type,External Cartridge Type Pressure Gauge,Gross Weight : 102 kg, Empty Weight : 52 kg, Can Height : 1192 MM, Diameter 300 MM, Discharge Time : less than 180 Secs, Controllable discharge mechanism,  Range minimum 10 meters, Applicable on Class A & B fire, Can construction: Deep drawn & Co2.,Mig Welded, Valve construction : Forging and Machining, Internal Coating of Can : Epoxy Powder Coating, External Coating of Can: Epoxy Polyster Powder coating Sheet Metal Thickness: 4.0 MM with 1 Year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-46 / Pg No:295,"This Item is DELETED -- Providing Water Mist 9 liters Fire Extinguisher Gross Weight:23.9 kg Weight of the Empty fire fighting system without compressed air bottle and bottle value 13.7 kg. Can Hight: 611 MM, Diameter: 175 MM, Weight of the Gun: 1.0 kg, Nominal charg 9 liter recoil-approx. 10 N extinguishing Media Flow-0.23/ sec, Water Discharge Hose-13 MM, Compressed air to Gun-10MM, applicable on Class A,B & electrically started Fire, A Rating 55A, B Rating 233B, Compressed Air Bottle (volume/*pressure)2L/300 bar, Operating Range Approx 12.0 M ,Opreation Time approx 40 Sec. Extinguishing ehnancement agent-foam additive, EN and ERDA approved Sheet Metal Thickness ( SS 316 Ti)-1.5 MM  with 1 year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-47 / Pg No:295,"This Item is DELETED -- Providing Water Mist 50 liters Fire Extinguisher Gross Weight:92 kg Weight of the Empty fire fighting system without compressed air bottle and bottle value 42 kg. Can Hight: 1192 MM, Diameter: 300 MM, Weight of the Gun: 1.0 kg, Nominal charg 50 liter recoil-approx. 10 N extinguishing Media Flow-0.31/ sec, Water Discharge Hose-13 MM, Compressed air to Gun-10MM, applicable on Class A,B & electrically started Fire, A Rating 55A, B Rating 233B, Compressed Air Bottle (volume/*pressure)6L/300 bar, Operating pressure (dynamic)-approx, 5.0 bar ,Opreation Time approx 160 Sec. Extinguishing ehnancement agent-foam additive, EN and ERDA approved Sheet Metal Thickness ( SS 316 Ti)-2 MM with 1 year Warranty etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-48 / Pg No:295,This Item is DELETED -- Providing Carbon Composite Cylinder 2 kg (For 9 liters Water Mist Extinguisher) Without Gas Filling etc.complete.,Each,As Directed By The Engineer In-Charge,0,0
I No:45-49 / Pg No:295,This Item is DELETED -- Providing Mild Steel Cylinder 6 kg (For 50 ltrs Water Mist Extinguisher) Without Gas Filling etc.complete.,Each,As Directed By The Engineer In-Charge,0,0
I No:45-50 / Pg No:295,"This Item is DELETED -- Providing QRS:2 Kg- Direct Low Pressure System-Gross Weight 3.98 kg Empty Weight :1.98 Can Height : 333 MM, Diameter 108 MM, Can construction: Deep drawn , Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 1.60 MM 1 year Warranty Valve : Nickel Plated, With Integrated Ball Valve, Integrated Position Control for ball valve open close, Extinguishing Clean Agent NAF S 125, zero ODP, Stored Pressure Fitted With pressure Gauge, Control Panel having Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy LED Red . Strobe Amber for Fire , OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 4 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter i Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachment 6 Pc  etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-51 / Pg No:295,"This Item is DELETED -- Providing QRS:4 Kg- Direct Low Pressure System-Gross Weight 7 kg Empty Weight :3 Kg Can Height : 413 MM, Diameter 140 MM, Can construction: Deep drawn , Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 1.60 MM 1 year Warranty Valve : Nickel Plated, With Integrated Ball Valve, Integrated Position Control for ball valve open close, Extinguishing Clean Agent NAF S 125, zero ODP, Stored Pressure Fitted With pressure Gauge, Control Panel having Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 4 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter i Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachment 8 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-52 / Pg No:295,"This Item is DELETED -- Providing QRS:6 Kg- Direct Low Pressure System-Gross Weight 9.42 kg Empty Weight :3.42 Kg Can Height : 460 MM, Diameter 160 MM, Can construction: Deep drawn , Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 2.00 MM 1 year Warranty Valve : Nickel Plated, With Integrated Ball Valve, Integrated Position Control for ball valve open close, Extinguishing Clean Agent NAF S 125, zero ODP, Stored Pressure Fitted With pressure Gauge, Control Panel having Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 5 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter i Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 10 Pc  etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-53 / Pg No:295,"This Item is DELETED -- Providing QRS: 9 Kg- Direct Low Pressure System-Gross Weight:14.53 kg Empty Weight :5.53 Kg Can Height : 590 MM, Diameter 175 MM, Can construction: Deep drawn , Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 2.00 MM 1 year Warranty Valve : Nickel Plated, With Integrated Ball Valve, Integrated Position Control for ball valve open close, Extinguishing Clean Agent NAF S 125, zero ODP, Stored Pressure Fitted With pressure Gauge, Control Panel having Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 5 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter i Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 10 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-54 / Pg No:295,"This Item is DELETED -- Providing QRS:2 Kg- Direct Low Pressure System-Gross Weight 3.98 kg Empty Weight :1.98 Can Height : 333 MM, Diameter 108 MM, Can construction: Deep drawn , Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 1.60 MM 1 year Warranty Valve : Nickel Plated, With Integrated Ball Valve, Integrated Position Control for ball valve open close, Extinguishing Clean Agent HCFC-123, Stored Pressure Fitted With pressure Gauge, Control Panel having Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 3 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter i Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 6 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-55 / Pg No:295,"This Item is DELETED -- Providing QRS:4 Kg- Direct Low Pressure System-Gross Weight 7 kg Empty Weight :3 Kg Can Height : 413 MM, Diameter 140 MM, Can construction: Deep drawn , Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 1.60 MM 1 year Warranty Valve : Nickel Plated, With Integrated Ball Valve, Integrated Position Control for ball valve open close, Extinguishing Clean Agent HCFC-123, Stored Pressure Fitted With pressure Gauge, Control Panel having Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 4 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter i Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 8 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-56 / Pg No:295,"This Item is DELETED -- Providing QRS:6 Kg- Direct Low Pressure System-Gross Weight 9.42 kg Empty Weight :3.42 Kg Can Height : 460 MM, Diameter 160 MM, Can construction: Deep drawn , Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 2.00 MM 1 year Warranty Valve : Nickel Plated, With Integrated Ball Valve, Integrated Position Control for ball valve open close, Extinguishing Clean Agent HCFC-123, Stored Pressure Fitted With pressure Gauge, Control Panel having Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 5 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter i Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 10 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-57 / Pg No:295,"This Item is DELETED -- Providing QRS: 9 Kg- Direct Low Pressure System-Gross Weight:14.53 kg Empty Weight :5.53 Kg Can Height : 590 MM, Diameter 175 MM, Can construction: Deep drawn , Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 2.00 MM 1 year Warranty Valve : Nickel Plated, With Integrated Ball Valve, Integrated Position Control for ball valve open close, Extinguishing Clean Agent HCFC-123, Stored Pressure Fitted With pressure Gauge, Control Panel having Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 5 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter i Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 12 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-58 / Pg No:295,"This Item is DELETED -- Providing QRS:2 Kg- Direct Low Pressure System-Gross Weight 8.52 kg Empty Weight :6.52 Can Height : 595 MM, Diameter 108 MM, Can construction: Hot Spinning/Heat Treatment, Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 4.2 MM 1 year Warranty Valve : Brass,Cylinder thread: 25 E Dip thread M10X1, OutLet Thread: W21 X 8X1/14'' Bursting Disc: 250 bar , Integrated Position Control for valve open close, Extinguishing Agent Co2 Controle Panel having,Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 3 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter 1 Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 6 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-59 / Pg No:295,"This Item is DELETED -- Providing QRS:4.5 Kg- Direct Low Pressure System-Gross Weight 14.73 kg Empty Weight : 13.23 Can Height : 735 MM, Diameter 139 MM, Can construction: Hot Spinning/Heat Treatment, Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 3.5 MM 1 year Warranty Valve : Brass,Cylinder thread: 25E Dip Tube Threading M10 X1, OutLet Thread: W21 X 8X1/14'' Bursting Disc: 250 bar , Integrated Position Control for valve open close, Extinguishing Agent Co2 Controle Panel having, Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 3 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter 1 Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 8 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-60 / Pg No:295,"This Item is DELETED -- Providing QRS:6.5 Kg- Direct Low Pressure System-Gross Weight 23.2 kg Empty Weight : 16.7 Can Height : 980 MM, Diameter 139.7 MM, Can construction: Hot Spinning/Heat Treatment, Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 4.5 MM 1 year Warranty Valve : Brass,Cylinder thread: 25E Dip Tube Threading M10 X1, OutLet Thread: W21 X 8X1/14'' Bursting Disc: 250 bar , Integrated Position Control for valve open close, Extinguishing Agent Co2 Controle Panel having, Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 3 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter 1 Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 10 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-61 / Pg No:295,"This Item is DELETED -- Providing QRS:22.5 Kg- Direct Low Pressure System-Gross Weight 63.6 kg Empty Weight : 41.1 Can Height : 1170 MM, Diameter 232 MM, Can construction: Hot Spinning/Heat Treatment, Valve construction : Forging and Machining,External Construction: Epoxy powder Coating, Sheet Metal Thickness: 4.5 MM 1 year Warranty Valve : Brass,Cylinder thread: 25E Dip Tube Threading M10 X1, OutLet Thread: W21 X 8X1/14'' Bursting Disc: 250 bar , Integrated Position Control for valve open close, Extinguishing  Agent Co2 Controle Panel having, Monitoring LED's for AC Power System On , Discharged, valve Closed, Valve Open, Pressure Healthy Strobe Red Strobe Amber, OLED Graphic Display 95 X 16, Battery Backup, 3 Outpus Using Potential Free Relaycontact,Audio Output using Piezo buzzer, 3 meter Sensor tube UV Resistance with Pressurization of Tube easing Nitrogen Gas, End of Line Plug 1 Pc, End of Line adapter 1 Pc, T Connection/Elbow/Straight Connection 1 Pc. Pressure Switch M 10X1, Switchpoint 15 Bar-1Pc Tube Attachemnt 12 Pc etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:45-62 / Pg No:295,"This Item is DELETED -- Providing Escape Singage: Photoluminescent rigid plastic, 2 MM thickness, printed on high quality glass paint with UV resistance, 5 years warranty material Used-Non Radiocactive, non-phosphorous, non toxic and lead free available in different types & sizes, time after removing the light source (in minutes): 60 minutes, Luminescent Intensity (Milicandelas*per square meter-mcd/sqm):30 mcd/sqm. Luminescent intensity greater than 0.32 mcd/sqm, period of Light Decay*(in Minutes):3100 etc.complete.",Each,As Directed By The Engineer In-Charge,0,0
I No:46-01 / Pg No:296,"Removing double country tiled roof with ridge and with battens and stacking the materials as directed with all leads and lifts, complete including removing wood work below etc. complete.",Sq.Mt.,Bd.W.8 Page No. 587,112,112
I No:46-02 / Pg No:296,Removing planking from roof or ceiling and stacking them as directed with all leads and lifts etc. complete.,Sq.Mt.,Bd.W.8 Page No. 587,50,50
I No:46-03 / Pg No:296,Removing Queen Post truss from roof and stacking the materials as directed with all leads and lifts  etc. complete.,No.,Bd.W.8 Page No. 587,1787,1787
I No:46-04 / Pg No:296,Removing King Post truss from roof and stacking the materials as directed with all leads and lifts  etc. complete.,No.,Bd.W.8 Page No. 587,1166,1166
I No:46-05 / Pg No:296,Removing Other type truss below 5 metres span from roof and stacking the materials as directed with all leads and lifts etc. complete.,No.,Bd.W.8 Page No. 587,875,875
I No:46-06 / Pg No:296,"Dismantling flat wooden or A.C. sheet ceiling with frame work including stacking the materials as directed with all leads, lifts etc. complete.",Sq.Mt.,Bd.W.8 Page No. 587,60,60
I No:46-07 / Pg No:296,"Removing cloth ceiling including frame work and stacking the materials as directed with all leads, lifts etc.  complete.",Sq.Mt.,As directed by Engineer in charge.,30,30
I No:46-08 / Pg No:296,Dismantling brick masonry in Mud and stacking the materials as directed with all leads lifts etc.  complete.,Cu.Mt.,As directed by Engineer in charge.,260,260
I No:46-09 / Pg No:296,"Dismantling brick masonry in lime or cement mortar and stacking the materials as directed with all leads, lifts etc. complete.",Cu.Mt.,As directed by Engineer in charge.,335,335
I No:46-10 / Pg No:296,"Dismantling stone masonry in mud including stacking the materials as directed with all leads, lifts etc. complete.",Cu.Mt.,As directed by Engineer in charge.,268,268
I No:46-11 / Pg No:296,"Dismantling stone masonry in lime or cement mortar including stacking the materials as directed with all leads, lifts etc. complete.",Cu.Mt.,As directed by Engineer in charge.,380,380
I No:46-12 / Pg No:296,"Removing lime or lean cement concrete including stacking the spoils as directed with all leads, lifts etc. complete.",Cu.Mt.,As directed by Engineer in charge.,558,558
I No:46-13 / Pg No:296,"Removing rich mix cement concrete including stacking the spoils as directed with all leads, lifts etc. complete.",Cu.Mt.,As directed by Engineer in charge,930,930
